"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","470μF","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"C2,C4,C5","3","0.1μF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3","1","10μF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6","1","2.2μF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"ESP1","1","NodeMCU","","","","ME507F24:ESP32_NodeMCU_KeeYees",""
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.5mm","~"
"IC1","1","PCA9956BTWY","","","","SOP50P640X110-39N","http://www.nxp.com/docs/en/data-sheet/PCA9956B.pdf"
"J1","1","Barrel_Jack","","","","Connector_BarrelJack:BarrelJack_Kycon_KLDX-0202-xC_Horizontal","~"
"J2","1","EXT IMU Connection","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J3","1","Motor 1","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"J4","1","Motor 2","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"J5,J6","2","Conn_01x12_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","~"
"J7,J8","2","Conn_01x08_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~"
"J9","1","Motor Encoder 2","","","","Connector_Molex:Molex_KK-396_A-41792-0005_1x05_P3.96mm_Horizontal","~"
"J10","1","Motor Encoder 1","","","","Connector_Molex:Molex_KK-396_A-41792-0005_1x05_P3.96mm_Horizontal","~"
"R1,R5,R13","3","10kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R6","2","4.7kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R4","2","500mΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R7","1","3.3kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R8,R9,R10,R11","4","470Ω","","","","Resistor_SMD:R_0805_2012Metric","~"
"R12","1","100","","","","Resistor_SMD:R_0805_2012Metric","~"
"R14","1","1kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11","11","TestPoint","","","","TestPoint:TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded","~"
"U2,U3","2","ADC128D818","","","","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","http://www.ti.com/lit/ds/symlink/adc128d818.pdf"
"U4","1","TL071","","","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U5","1","CD74HC4067SM","","","","Package_SO:SSOP-24_5.3x8.2mm_P0.65mm","http://www.ti.com/lit/ds/symlink/cd74hc4067.pdf"
"U6","1","DRV8848","","","","Package_SO:TSSOP-16-1EP_4.4x5mm_P0.65mm","http://www.ti.com/lit/ds/symlink/drv8848.pdf"
